name,kioskId,start_station,total_start_trips,end_station,total_end_trips,totalDocks,percent_car,totalpop,student_ratio,educated_ratio,employed_ratio,logDistRests,within_centerCity,logIntersectionDists,logStationDists,laggedTrips
"11th & Poplar, John F. Street Community Center",3016,3016,151,3016,136,15,0.4464730290456432,2913.0,0.009955372434070124,0.054239615330451026,0.4558873997394871,2.9102435615582523,0,1.7295446782515052,2.912796449162346,450.0
6th & Berks,3017,3017,304,3017,301,15,0.40816326530612246,1671.0,0.05445840781293592,0.08976660628505921,0.3913824034028582,3.002244751603757,0,1.5405246253378142,3.038071491197983,306.6
12th & Filbert,3018,3018,1098,3018,1080,18,0.2777777777777778,2977.0,0.0332549545406283,0.28955324054567266,0.37285858121310517,1.9288970436484085,1,1.615527318475818,2.6169990358228037,852.2
10th & Chestnut,3033,3033,844,3033,827,20,0.2777777777777778,2977.0,0.0332549545406283,0.28955324054567266,0.37285858121310517,2.4429612531422693,1,1.6910334013425825,2.6224071956877713,1030.2
8th & Market,3055,3055,783,3055,779,15,0.2777777777777778,2977.0,0.0332549545406283,0.28955324054567266,0.37285858121310517,2.529394112258743,1,1.739151787066229,2.660166323556061,1019.4
11th & Market ,3185,3185,1149,3185,1145,21,0.2777777777777778,2977.0,0.0332549545406283,0.28955324054567266,0.37285858121310517,2.272612111489071,1,1.8364655385117306,2.610841313887942,884.2
6th & Race,3019,3019,336,3019,318,15,0.4623456790123457,2752.0,0.0,0.03124999988644622,0.7819767413445612,2.6956260133613115,0,1.9577054985037043,2.740186205909027,700.0
2nd & Race,3169,3169,708,3169,703,17,0.4623456790123457,2752.0,0.0,0.03124999988644622,0.7819767413445612,2.6046751900630443,0,1.3712304028175495,2.8535843327884125,752.8
University City Station,3020,3020,551,3020,434,36,0.401894451962111,0.0,0.0,0.0,0.0,2.8668687070464105,0,1.927417570695468,2.809136700844894,747.8
The Children's Hospital of Philadelphia (CHOP),3038,3038,928,3038,808,28,0.401894451962111,0.0,0.0,0.0,0.0,2.919594561459739,0,1.483867030147867,2.757795433786034,598.4
Health Sciences Drive,3184,3184,153,3184,187,22,0.401894451962111,0.0,0.0,0.0,0.0,3.042536449054818,0,1.7449295410012848,2.874465164548878,682.6
34th & Spruce,3208,3208,1255,3208,1338,28,0.401894451962111,0.0,0.0,0.0,0.0,2.68517602481518,0,1.9555487915612777,2.727056834206539,665.6
18th & JFK,3021,3021,913,3021,911,34,0.19232970807097882,3260.0,0.00368098158380067,0.016257668661786292,0.6561349673124693,2.528658878077256,1,1.5574213702581874,2.5668478648270097,707.6
19th & Market,3078,3078,932,3078,916,18,0.19232970807097882,3260.0,0.00368098158380067,0.016257668661786292,0.6561349673124693,2.3824148014229922,1,1.8449464728629175,2.5799348559301922,825.8
Amtrak 30th Street Station,3022,3022,1221,3022,1215,21,0.2210386151797603,5912.0,0.08694181311410384,0.01657645464043225,0.3210419480361266,2.8342431749214083,0,1.4369112086408233,2.7741398637338066,814.2
36th & Sansom,3029,3029,615,3029,604,17,0.2210386151797603,5912.0,0.08694181311410384,0.01657645464043225,0.3210419480361266,2.315135180360746,0,1.8544467893541152,2.733125233650949,877.8
34th & Chestnut,3207,3207,816,3207,839,22,0.2210386151797603,5912.0,0.08694181311410384,0.01657645464043225,0.3210419480361266,2.375146698175469,0,1.7667436014993123,2.763958329821022,864.2
"43rd & Chester, Clark Park",3024,3024,482,3024,483,19,0.27582644628099173,1991.0,0.05022601682458053,0.020592666898078017,0.5630336486035478,2.716814781227605,0,1.8637256106035447,2.922927124059464,518.8
45th & Baltimore,3209,3209,421,3209,410,14,0.27582644628099173,1991.0,0.05022601682458053,0.020592666898078017,0.5630336486035478,2.330374018729347,0,1.5037353371599453,2.9613852023949194,509.8
11th & Washington,3025,3025,660,3025,663,15,0.3163549542379626,4860.0,0.019753086379108876,0.04485596698589307,0.6446502044348762,2.462635760012485,0,1.5753809280336546,2.786846121208191,652.6
4th & Bainbridge,3028,3028,1487,3028,1539,15,0.4671592775041051,2349.0,0.01660280963557765,0.14133673843619948,0.71349510126226,2.300355669003749,0,1.410033552436196,2.8749584403452006,558.8
Darien & Catharine,3030,3030,765,3030,739,29,0.49571673329525984,3299.0,0.01576235218016868,0.024856016899496763,0.6574719592074205,2.2146807937402047,0,1.5849193553818484,2.7925734070874713,762.6
7th & Fitzwater,3155,3155,568,3155,562,18,0.49571673329525984,3299.0,0.01576235218016868,0.024856016899496763,0.6574719592074205,2.455366213367097,0,1.4061113994842869,2.7890586132034487,975.8
23rd & South,3032,3032,1566,3032,1590,20,0.28794642857142855,5086.0,0.033031852078191405,0.019858434880341263,0.5841525745494445,2.757992757095235,0,1.434339443310459,2.7284515311759083,872.2
27th & South,3162,3162,587,3162,585,34,0.28794642857142855,5086.0,0.033031852078191405,0.019858434880341263,0.5841525745494445,2.897298054627615,0,1.8773804381653172,2.8318350617139005,958.0
Grays Ferry & Pemberton,3170,3170,669,3170,654,16,0.28794642857142855,5086.0,0.033031852078191405,0.019858434880341263,0.5841525745494445,2.8172653732178996,0,1.616440901570428,2.7641583089296393,1051.6
11th & Reed,3034,3034,710,3034,700,16,0.2683877252800779,4096.0,0.014160156215429306,0.0546874998664856,0.6770019514721632,2.5116771627346615,0,1.168857257828316,2.827636285953351,560.8
Dornsife Center,3035,3035,674,3035,582,20,0.5673892554194157,2787.0,0.08109077832403738,0.0828848220922683,0.4255471818243732,2.8897858162196073,0,1.8585966107026157,2.9155054348025393,561.2
34th & Mantua,3104,3104,204,3104,202,13,0.5673892554194157,2787.0,0.08109077832403738,0.0828848220922683,0.4255471818243732,3.081611857784531,0,1.7570749796540548,2.9957279008550532,724.2
Pennsylvania Convention Center,3037,3037,903,3037,891,21,0.2636845203060624,3414.0,0.05067369639521471,0.11482132362383912,0.6549502031196537,2.3645556768134206,1,1.7399329738006122,2.660889304994772,779.8
9th & Arch,3050,3050,793,3050,788,15,0.2636845203060624,3414.0,0.05067369639521471,0.11482132362383912,0.6549502031196537,2.103024791176445,1,1.3805494560383293,2.66251628009603,669.0
Race & Franklin ,3233,3233,233,3233,216,20,0.2636845203060624,3414.0,0.05067369639521471,0.11482132362383912,0.6549502031196537,2.4841575853979636,0,1.788904786054949,2.752467231055966,747.8
Broad & Girard,3039,3039,467,3039,416,17,0.5498547918683446,4751.0,0.05135760881633844,0.1424963162650046,0.5344138064946037,2.9329455772049595,0,1.3902707191263561,2.831481642475857,408.2
17th & Girard,3077,3077,394,3077,325,19,0.5498547918683446,4751.0,0.05135760881633844,0.1424963162650046,0.5344138064946037,2.957504095779257,0,1.7107011057984565,2.804082009039326,356.4
17th & Spring Garden,3040,3040,792,3040,663,21,0.401894451962111,1932.0,0.02587991705031099,0.031573498801379406,0.5217391277342696,2.3982148927463505,0,1.6450338072177983,2.7274013919299183,539.2
16th & Callowhill,3235,3235,281,3235,258,22,0.401894451962111,1932.0,0.02587991705031099,0.031573498801379406,0.5217391277342696,2.6629881509709215,0,1.5394710711453143,2.7681931667360766,612.4
"Girard Station, MFL",3041,3041,479,3041,547,26,0.7011431682090364,2355.0,0.016135881035516428,0.04798301465824622,0.857324837123886,2.2656900472029085,0,1.4155315673662598,2.933273734576358,352.8
Del. River Trail & Penn St.,3110,3110,293,3110,284,19,0.7011431682090364,2355.0,0.016135881035516428,0.04798301465824622,0.857324837123886,2.7388127099013038,0,1.350144355631972,3.0242440888707303,512.8
"18th & Fernon, Aquinas Center",3043,3043,599,3043,633,18,0.41383495145631066,3419.0,0.016671541337608828,0.14009944387218648,0.5329043564407594,2.682827553602312,0,1.658150800318545,2.9604047986817403,590.8
